query,intent
What lab test identifies muscle damage?,diagnostic_test_inquiry
How do doctors test for rhabdomyolysis?,diagnostic_test_inquiry
What blood test shows creatine kinase?,diagnostic_test_inquiry
What imaging is best for tumors in muscles?,diagnostic_test_inquiry
Which test diagnoses DVT?,diagnostic_test_inquiry
What scan detects pulmonary embolism?,diagnostic_test_inquiry
What test checks for clotting time?,diagnostic_test_inquiry
Which test measures INR?,diagnostic_test_inquiry
What blood tests monitor patients on blood thinners?,diagnostic_test_inquiry
Which diagnostic test checks for hypertension?,diagnostic_test_inquiry
What is the gold-standard test for high blood pressure?,diagnostic_test_inquiry
What tests screen for metabolic syndrome?,diagnostic_test_inquiry
Which blood tests check insulin levels?,diagnostic_test_inquiry
What test diagnoses high triglycerides?,diagnostic_test_inquiry
Which test shows liver fat levels?,diagnostic_test_inquiry
What scan is used for fatty liver?,diagnostic_test_inquiry
What test diagnoses cirrhosis?,diagnostic_test_inquiry
Which imaging detects varices in the esophagus?,diagnostic_test_inquiry
What lab test shows liver enzymes?,diagnostic_test_inquiry
Which diagnostic test helps in Wilson’s disease?,diagnostic_test_inquiry
What test checks copper levels in the blood?,diagnostic_test_inquiry
Which test diagnoses hemochromatosis?,diagnostic_test_inquiry
What is the test for alpha-1 antitrypsin deficiency?,diagnostic_test_inquiry
Which tests confirm cystic fibrosis?,diagnostic_test_inquiry
What diagnostic tool is used for bronchiectasis?,diagnostic_test_inquiry
Which test shows interstitial lung disease?,diagnostic_test_inquiry
What imaging shows asbestosis?,diagnostic_test_inquiry
What test confirms silicosis?,diagnostic_test_inquiry
Which scan detects coal worker’s pneumoconiosis?,diagnostic_test_inquiry
What test measures blood oxygen?,diagnostic_test_inquiry
Which device checks oxygen saturation during sleep?,diagnostic_test_inquiry
What test diagnoses hypoxia?,diagnostic_test_inquiry
Which test shows CO2 levels in blood?,diagnostic_test_inquiry
What imaging is used to test lung nodules?,diagnostic_test_inquiry
Which diagnostic tool identifies lung cancer stages?,diagnostic_test_inquiry
Which scan helps in staging breast cancer?,diagnostic_test_inquiry
What is mammography used for?,diagnostic_test_inquiry
What test detects cervical abnormalities?,diagnostic_test_inquiry
What scan is used for ovarian cancer staging?,diagnostic_test_inquiry
Which blood test checks tumor markers?,diagnostic_test_inquiry
What test measures PSA for prostate health?,diagnostic_test_inquiry
Which imaging diagnoses prostate cancer?,diagnostic_test_inquiry
What test is used for endometriosis diagnosis?,diagnostic_test_inquiry
Which scan detects pelvic inflammatory disease?,diagnostic_test_inquiry
What test helps in PCOS diagnosis?,diagnostic_test_inquiry
Which labs are checked for infertility?,diagnostic_test_inquiry
What hormonal tests are done for infertility in men?,diagnostic_test_inquiry
What semen analysis tests are used?,diagnostic_test_inquiry
Which test diagnoses erectile dysfunction causes?,diagnostic_test_inquiry
What test checks testosterone levels?,diagnostic_test_inquiry
Which test measures estrogen in women?,diagnostic_test_inquiry
What test diagnoses menopause?,diagnostic_test_inquiry
Which imaging is used for uterine fibroids?,diagnostic_test_inquiry
What scan confirms endometrial hyperplasia?,diagnostic_test_inquiry
What test is Pap smear used for?,diagnostic_test_inquiry
What lab tests confirm HPV infection?,diagnostic_test_inquiry
Which blood tests diagnose STDs?,diagnostic_test_inquiry
What is the confirmatory test for HIV?,diagnostic_test_inquiry
Which test checks viral load in HIV?,diagnostic_test_inquiry
What diagnostic test monitors CD4 count?,diagnostic_test_inquiry
Which test checks hepatitis B viral markers?,diagnostic_test_inquiry
What test confirms hepatitis C?,diagnostic_test_inquiry
What imaging checks liver damage from hepatitis?,diagnostic_test_inquiry
What lab test diagnoses dengue?,diagnostic_test_inquiry
Which test is NS1 antigen used for?,diagnostic_test_inquiry
What is the confirmatory test for malaria?,diagnostic_test_inquiry
Which test detects parasites in blood?,diagnostic_test_inquiry
What test checks for filariasis?,diagnostic_test_inquiry
Which test confirms leishmaniasis (kala-azar)?,diagnostic_test_inquiry
What test detects trypanosomiasis?,diagnostic_test_inquiry
Which imaging checks enlarged spleen?,diagnostic_test_inquiry
What test diagnoses toxoplasmosis?,diagnostic_test_inquiry
Which imaging is used for hydatid cyst diagnosis?,diagnostic_test_inquiry
What lab test confirms schistosomiasis?,diagnostic_test_inquiry
Which stool test confirms worms?,diagnostic_test_inquiry
What test detects ascariasis?,diagnostic_test_inquiry
Which diagnostic test confirms tapeworm infection?,diagnostic_test_inquiry
What test identifies giardiasis?,diagnostic_test_inquiry
Which test checks for amoebiasis?,diagnostic_test_inquiry
What stool test detects pinworms?,diagnostic_test_inquiry
Which test diagnoses trichomoniasis?,diagnostic_test_inquiry
What imaging is done for abscess detection?,diagnostic_test_inquiry
What test detects appendicitis?,diagnostic_test_inquiry
Which imaging shows peritonitis?,diagnostic_test_inquiry
What test confirms ascites?,diagnostic_test_inquiry
Which scan checks portal hypertension?,diagnostic_test_inquiry
What lab test diagnoses pancreatitis?,diagnostic_test_inquiry
What imaging is used for pancreatic cancer?,diagnostic_test_inquiry
What test confirms bile duct obstruction?,diagnostic_test_inquiry
Which diagnostic test detects gallstones?,diagnostic_test_inquiry
What test checks cholecystitis?,diagnostic_test_inquiry
Which test is used for ulcer detection?,diagnostic_test_inquiry
What imaging shows GERD damage?,diagnostic_test_inquiry
Which test measures stomach acid levels?,diagnostic_test_inquiry
What test diagnoses celiac disease?,diagnostic_test_inquiry
Which test is used for lactose intolerance?,diagnostic_test_inquiry
What test checks gluten sensitivity?,diagnostic_test_inquiry
Which imaging diagnoses colon polyps?,diagnostic_test_inquiry
What test is done for colorectal cancer?,diagnostic_test_inquiry
Which stool test detects blood in stool?,diagnostic_test_inquiry
What screening test checks for early colon cancer?,diagnostic_test_inquiry
What test measures C-reactive protein?,diagnostic_test_inquiry
Which lab test checks ESR?,diagnostic_test_inquiry
What diagnostic test evaluates allergy?,diagnostic_test_inquiry
Which blood test confirms food allergy?,diagnostic_test_inquiry
What test checks skin sensitivity to allergens?,diagnostic_test_inquiry
Which test confirms anaphylaxis?,diagnostic_test_inquiry
What lab test checks immunoglobulins?,diagnostic_test_inquiry
Which diagnostic test is used for autoimmune diseases?,diagnostic_test_inquiry
What test is used to confirm lupus?,diagnostic_test_inquiry
Which antibody test detects rheumatoid arthritis?,diagnostic_test_inquiry
What diagnostic test checks ANA levels?,diagnostic_test_inquiry
Which test is done to confirm vasculitis?,diagnostic_test_inquiry
What imaging is used to check blood vessel inflammation?,diagnostic_test_inquiry
Which test diagnoses scleroderma?,diagnostic_test_inquiry
What lab test checks antiphospholipid syndrome?,diagnostic_test_inquiry
Which test is performed for Goodpasture syndrome?,diagnostic_test_inquiry
What diagnostic test is used for Wegener’s granulomatosis?,diagnostic_test_inquiry
Which test identifies Churg-Strauss syndrome?,diagnostic_test_inquiry
What test checks for Henoch-Schönlein purpura?,diagnostic_test_inquiry
Which test is done for polyarteritis nodosa?,diagnostic_test_inquiry
What test diagnoses Kawasaki disease?,diagnostic_test_inquiry
Which lab test helps in Behcet’s disease?,diagnostic_test_inquiry
What diagnostic test confirms Takayasu arteritis?,diagnostic_test_inquiry
What test checks for anemia?,diagnostic_test_inquiry
Which test measures hemoglobin levels?,diagnostic_test_inquiry
What diagnostic test detects hemophilia?,diagnostic_test_inquiry
Which lab test confirms sickle cell anemia?,diagnostic_test_inquiry
What test identifies thalassemia?,diagnostic_test_inquiry
Which diagnostic test detects aplastic anemia?,diagnostic_test_inquiry
What test is used to analyze bone marrow?,diagnostic_test_inquiry
Which test diagnoses lymphoma?,diagnostic_test_inquiry
What imaging is best for Hodgkin’s disease?,diagnostic_test_inquiry
Which test confirms leukemia?,diagnostic_test_inquiry
What test measures WBC count?,diagnostic_test_inquiry
Which test shows clotting time?,diagnostic_test_inquiry
What diagnostic test confirms multiple myeloma?,diagnostic_test_inquiry
Which imaging checks bone lesions?,diagnostic_test_inquiry
What test is used for sepsis diagnosis?,diagnostic_test_inquiry
Which test tracks CRP during infections?,diagnostic_test_inquiry
What diagnostic test identifies bacteremia?,diagnostic_test_inquiry
Which lab confirms toxic shock syndrome?,diagnostic_test_inquiry
What diagnostic test shows meningococcemia?,diagnostic_test_inquiry
Which test is used for diphtheria confirmation?,diagnostic_test_inquiry
What lab detects tetanus toxins?,diagnostic_test_inquiry
What diagnostic test is used for polio?,diagnostic_test_inquiry
Which test shows rabies antibodies?,diagnostic_test_inquiry
What test detects yellow fever antibodies?,diagnostic_test_inquiry
Which test is used for Ebola?,diagnostic_test_inquiry
What lab confirms Marburg virus?,diagnostic_test_inquiry
What test shows hantavirus antibodies?,diagnostic_test_inquiry
Which test identifies leptospirosis?,diagnostic_test_inquiry
Which diagnostic test confirms brucellosis?,diagnostic_test_inquiry
Which test is performed for anthrax?,diagnostic_test_inquiry
What test detects Q fever?,diagnostic_test_inquiry
Which diagnostic test is used for tularemia?,diagnostic_test_inquiry
Which test confirms psittacosis?,diagnostic_test_inquiry
How do doctors confirm cat scratch disease?,diagnostic_test_inquiry
What test diagnoses trachoma?,diagnostic_test_inquiry
Which diagnostic test checks for onchocerciasis?,diagnostic_test_inquiry
What test is used to detect filariasis?,diagnostic_test_inquiry
Which diagnostic test is used for strongyloidiasis?,diagnostic_test_inquiry
What lab test detects whipworm infection?,diagnostic_test_inquiry
Which stool test diagnoses hookworm?,diagnostic_test_inquiry
What test is used to confirm roundworm infection?,diagnostic_test_inquiry
What diagnostic test checks for hydatid cyst?,diagnostic_test_inquiry
Which test identifies echinococcosis?,diagnostic_test_inquiry
Which diagnostic test is done for schistosomiasis?,diagnostic_test_inquiry
What test is performed for trichinosis?,diagnostic_test_inquiry
Which lab confirms toxocariasis?,diagnostic_test_inquiry
What test detects trypanosomiasis?,diagnostic_test_inquiry
Which test confirms Chagas disease?,diagnostic_test_inquiry
Which test diagnoses kala-azar?,diagnostic_test_inquiry
What diagnostic test shows malaria parasites?,diagnostic_test_inquiry
Which test is used for dengue fever?,diagnostic_test_inquiry
What lab test checks chikungunya?,diagnostic_test_inquiry
Which test detects Zika virus?,diagnostic_test_inquiry
What test confirms West Nile virus?,diagnostic_test_inquiry
What diagnostic test is used for HIV?,diagnostic_test_inquiry
Which test tracks HIV viral load?,diagnostic_test_inquiry
What test measures CD4 counts?,diagnostic_test_inquiry
Which test confirms hepatitis A?,diagnostic_test_inquiry
What is the diagnostic test for hepatitis B?,diagnostic_test_inquiry
Which test shows hepatitis C?,diagnostic_test_inquiry
What lab test confirms hepatitis D?,diagnostic_test_inquiry
Which test is used for hepatitis E?,diagnostic_test_inquiry
Which imaging is done for liver fibrosis?,diagnostic_test_inquiry
What test diagnoses cirrhosis?,diagnostic_test_inquiry
Which scan is used for portal hypertension?,diagnostic_test_inquiry
What lab test checks liver enzymes?,diagnostic_test_inquiry
What test evaluates kidney disease?,diagnostic_test_inquiry
Which imaging shows kidney damage?,diagnostic_test_inquiry
What test diagnoses chronic kidney disease?,diagnostic_test_inquiry
Which test shows creatinine levels?,diagnostic_test_inquiry
What test measures GFR?,diagnostic_test_inquiry
Which test checks for proteinuria?,diagnostic_test_inquiry
What imaging is done for kidney stones?,diagnostic_test_inquiry
What diagnostic test confirms UTI?,diagnostic_test_inquiry
Which lab test checks urine infection?,diagnostic_test_inquiry
What imaging shows bladder disease?,diagnostic_test_inquiry
Which test diagnoses prostate enlargement?,diagnostic_test_inquiry
What blood test is done for PSA?,diagnostic_test_inquiry
What imaging detects prostate cancer?,diagnostic_test_inquiry
What test checks ovarian cysts?,diagnostic_test_inquiry
Which scan identifies ovarian cancer?,diagnostic_test_inquiry
What test is Pap smear used for?,diagnostic_test_inquiry
Which imaging shows endometriosis?,diagnostic_test_inquiry
What test checks fallopian tube blockage?,diagnostic_test_inquiry
What blood test detects infertility causes?,diagnostic_test_inquiry
Which test diagnoses hormonal imbalance?,diagnostic_test_inquiry
What diagnostic test shows adrenal tumors?,diagnostic_test_inquiry
Which tests check pituitary function?,diagnostic_test_inquiry
What blood test confirms thyroid disease?,diagnostic_test_inquiry
Which scan shows thyroid nodules?,diagnostic_test_inquiry
What test checks cortisol levels?,diagnostic_test_inquiry
Which diagnostic test confirms Addison’s disease?,diagnostic_test_inquiry
What test is used for Cushing’s disease?,diagnostic_test_inquiry
Which diagnostic tool detects acromegaly?,diagnostic_test_inquiry
What test measures growth hormone?,diagnostic_test_inquiry
Which test diagnoses gigantism?,diagnostic_test_inquiry
What diagnostic test confirms hypopituitarism?,diagnostic_test_inquiry
Which lab test shows prolactin levels?,diagnostic_test_inquiry
Which test checks fertility hormones?,diagnostic_test_inquiry
What test is performed during pregnancy screening?,diagnostic_test_inquiry
Which test diagnoses gestational diabetes?,diagnostic_test_inquiry
What diagnostic test shows Down syndrome?,diagnostic_test_inquiry
Which test screens newborn genetic disorders?,diagnostic_test_inquiry
What diagnostic test confirms autism?,diagnostic_test_inquiry
Which screening tools are used for ADHD?,diagnostic_test_inquiry
What test helps diagnose learning disabilities?,diagnostic_test_inquiry
Which imaging is used for fetal abnormalities?,diagnostic_test_inquiry
What prenatal test screens for birth defects?,diagnostic_test_inquiry
What are the main causes of fever?,cause_inquiry
Why do people develop headaches?,cause_inquiry
What usually causes migraines?,cause_inquiry
How does dehydration lead to dizziness?,cause_inquiry
What are the reasons behind fainting?,cause_inquiry
What causes shortness of breath?,cause_inquiry
Why does chest pain occur?,cause_inquiry
What are common causes of high blood pressure?,cause_inquiry
How does stress cause hypertension?,cause_inquiry
What are the underlying reasons for low blood pressure?,cause_inquiry
Why do people develop asthma?,cause_inquiry
What are the triggers of asthma attacks?,cause_inquiry
How does smoking cause lung cancer?,cause_inquiry
What are the main reasons for COPD?,cause_inquiry
Why does bronchitis occur?,cause_inquiry
What can cause chronic cough?,cause_inquiry
How does pneumonia develop?,cause_inquiry
Why do people get tuberculosis?,cause_inquiry
What causes recurrent throat infections?,cause_inquiry
What is the cause of tonsillitis?,cause_inquiry
What bacteria are responsible for strep throat?,cause_inquiry
How do ear infections start?,cause_inquiry
What leads to sinus infections?,cause_inquiry
Why do teeth get cavities?,cause_inquiry
What causes gum disease?,cause_inquiry
How does plaque lead to periodontitis?,cause_inquiry
Why do people suffer from acid reflux?,cause_inquiry
How does GERD develop?,cause_inquiry
What are the causes of stomach ulcers?,cause_inquiry
Why is H. pylori linked to ulcers?,cause_inquiry
What causes gastritis?,cause_inquiry
What are the risk factors for colon cancer?,cause_inquiry
Why do people suffer from constipation?,cause_inquiry
How does diarrhoea occur?,cause_inquiry
What leads to irritable bowel syndrome?,cause_inquiry
What causes Crohn’s disease?,cause_inquiry
Why do some people get ulcerative colitis?,cause_inquiry
What factors cause gallstones?,cause_inquiry
Why do kidney stones form?,cause_inquiry
What are the main reasons for kidney failure?,cause_inquiry
What causes urinary tract infections?,cause_inquiry
How do bladder infections occur?,cause_inquiry
What causes prostate enlargement?,cause_inquiry
Why do men develop prostate cancer?,cause_inquiry
What genetic factors cause breast cancer?,cause_inquiry
Why does cervical cancer develop?,cause_inquiry
What are the triggers for ovarian cysts?,cause_inquiry
How does PCOS develop?,cause_inquiry
What causes endometriosis?,cause_inquiry
Why do some women struggle with infertility?,cause_inquiry
What are common causes of irregular periods?,cause_inquiry
Why does menopause occur?,cause_inquiry
How does diabetes develop?,cause_inquiry
What causes type 1 diabetes?,cause_inquiry
What are the risk factors for type 2 diabetes?,cause_inquiry
Why do people become insulin resistant?,cause_inquiry
How does obesity trigger diabetes?,cause_inquiry
What leads to hypothyroidism?,cause_inquiry
Why does the thyroid become overactive?,cause_inquiry
What are the causes of goiter?,cause_inquiry
Why do hormonal imbalances occur?,cause_inquiry
How does Cushing’s syndrome develop?,cause_inquiry
What causes Addison’s disease?,cause_inquiry
Why does vitamin D deficiency happen?,cause_inquiry
What are the main reasons for iron deficiency anemia?,cause_inquiry
How does B12 deficiency occur?,cause_inquiry
What dietary issues cause malnutrition?,cause_inquiry
Why does dehydration occur in the body?,cause_inquiry
What factors cause obesity?,cause_inquiry
How do genetic factors cause high cholesterol?,cause_inquiry
Why does heart disease develop?,cause_inquiry
What causes stroke in young people?,cause_inquiry
How does a blood clot lead to stroke?,cause_inquiry
Why do people get heart attacks?,cause_inquiry
What triggers chest angina?,cause_inquiry
What causes palpitations?,cause_inquiry
Why does arrhythmia occur?,cause_inquiry
What are the leading causes of heart failure?,cause_inquiry
How does myocarditis develop?,cause_inquiry
Why does endocarditis occur?,cause_inquiry
What infections cause rheumatic heart disease?,cause_inquiry
Why do people develop varicose veins?,cause_inquiry
What causes deep vein thrombosis?,cause_inquiry
Why do blood clots form?,cause_inquiry
What are the causes of pulmonary embolism?,cause_inquiry
How does aortic aneurysm occur?,cause_inquiry
Why are some people at risk of hypertension?,cause_inquiry
What are the dietary causes of high cholesterol?,cause_inquiry
Why does anemia make people weak?,cause_inquiry
What blood disorders cause fatigue?,cause_inquiry
What leads to sickle cell anemia?,cause_inquiry
Why does thalassemia occur?,cause_inquiry
What causes aplastic anemia?,cause_inquiry
How does leukemia develop?,cause_inquiry
What causes lymphoma?,cause_inquiry
Why do some people get multiple myeloma?,cause_inquiry
What are the causes of sepsis?,cause_inquiry
Why does septic shock develop?,cause_inquiry
What bacteria cause meningitis?,cause_inquiry
